annot	simulation	TYPE(seed)	h2(se)	z_h2	h2_nim(se)	z_nim	h2_mh(se)	z_mh	delta(se)	Z_nim_mh
expanded.anc	ncausal.10000.hsq.0.2.	ULTRARARE(1)	0.0702 (0.0073)	-17.82	0.0035 (0.0022)	1.64	0.0020 (0.0002)	8.69	0.0050 (0.0022)	2.25
expanded.anc	ncausal.10000.hsq.0.2.	ULTRARARE(2)	0.0708 (0.0065)	-19.77	-0.0002 (0.0009)	-0.27	0.0021 (0.0002)	10.19	0.0022 (0.0010)	2.30
expanded.anc	ncausal.10000.hsq.0.2.	ULTRARARE(3)	0.0808 (0.0052)	-22.95	0.0011 (0.0009)	1.21	0.0024 (0.0002)	15.19	0.0025 (0.0009)	2.75
expanded.anc	ncausal.10000.hsq.0.5.	ULTRARARE(1)	0.1755 (0.0142)	-22.88	0.0053 (0.0038)	1.39	0.0050 (0.0005)	11.13	0.0095 (0.0039)	2.43
expanded.anc	ncausal.10000.hsq.0.5.	ULTRARARE(2)	0.1872 (0.0160)	-19.60	0.0000 (0.0022)	0.01	0.0055 (0.0005)	11.44	0.0051 (0.0022)	2.30
expanded.anc	ncausal.10000.hsq.0.5.	ULTRARARE(3)	0.1798 (0.0097)	-33.07	0.0006 (0.0022)	0.27	0.0053 (0.0003)	17.88	0.0041 (0.0023)	1.80
expanded.anc	ncausal.100000.hsq.0.2.	ULTRARARE(1)	0.0721 (0.0068)	-18.71	0.0035 (0.0018)	1.96	0.0020 (0.0002)	9.43	0.0056 (0.0018)	3.06
expanded.anc	ncausal.100000.hsq.0.2.	ULTRARARE(2)	0.0817 (0.0066)	-17.84	0.0019 (0.0008)	2.43	0.0024 (0.0002)	11.84	0.0034 (0.0008)	4.53
expanded.anc	ncausal.100000.hsq.0.2.	ULTRARARE(3)	0.0761 (0.0050)	-24.58	0.0006 (0.0008)	0.77	0.0022 (0.0002)	14.00	0.0024 (0.0009)	2.75
expanded.anc	ncausal.100000.hsq.0.5.	ULTRARARE(1)	0.1755 (0.0121)	-26.78	0.0041 (0.0025)	1.64	0.0050 (0.0004)	13.30	0.0092 (0.0026)	3.54
expanded.anc	ncausal.100000.hsq.0.5.	ULTRARARE(2)	0.1932 (0.0143)	-21.53	0.0032 (0.0018)	1.81	0.0056 (0.0004)	12.69	0.0076 (0.0018)	4.15
expanded.anc	ncausal.100000.hsq.0.5.	ULTRARARE(3)	0.1856 (0.0057)	-55.64	0.0026 (0.0024)	1.08	0.0054 (0.0002)	31.04	0.0078 (0.0025)	3.16
expanded.anc.maf	ncausal.10000.hsq.0.2.	ULTRARARE(1)	0.1989 (0.0145)	-0.08	0.0016 (0.0016)	1.01	0.0042 (0.0002)	16.98	0.0008 (0.0017)	0.50
expanded.anc.maf	ncausal.10000.hsq.0.2.	ULTRARARE(2)	0.1896 (0.0096)	-1.09	-0.0014 (0.0007)	-2.03	0.0041 (0.0002)	17.54	-0.0010 (0.0008)	-1.29
expanded.anc.maf	ncausal.10000.hsq.0.2.	ULTRARARE(3)	0.2135 (0.0109)	1.24	-0.0002 (0.0009)	-0.28	0.0045 (0.0002)	19.63	-0.0010 (0.0009)	-1.18
expanded.anc.maf	ncausal.10000.hsq.0.5.	ULTRARARE(1)	0.4721 (0.0163)	-1.71	0.0016 (0.0030)	0.54	0.0095 (0.0004)	22.51	0.0014 (0.0031)	0.44
expanded.anc.maf	ncausal.10000.hsq.0.5.	ULTRARARE(2)	0.5155 (0.0241)	0.64	-0.0032 (0.0020)	-1.61	0.0107 (0.0005)	19.44	-0.0033 (0.0021)	-1.59
expanded.anc.maf	ncausal.10000.hsq.0.5.	ULTRARARE(3)	0.4912 (0.0182)	-0.48	-0.0022 (0.0016)	-1.42	0.0099 (0.0004)	25.16	-0.0033 (0.0016)	-2.06
expanded.anc.maf	ncausal.100000.hsq.0.2.	ULTRARARE(1)	0.2004 (0.0120)	0.03	0.0017 (0.0014)	1.23	0.0041 (0.0002)	18.07	0.0017 (0.0014)	1.18
expanded.anc.maf	ncausal.100000.hsq.0.2.	ULTRARARE(2)	0.1881 (0.0066)	-1.80	0.0005 (0.0008)	0.67	0.0044 (0.0002)	19.75	0.0000 (0.0008)	0.04
expanded.anc.maf	ncausal.100000.hsq.0.2.	ULTRARARE(3)	0.2019 (0.0085)	0.23	-0.0006 (0.0007)	-0.84	0.0044 (0.0002)	21.01	-0.0010 (0.0008)	-1.29
expanded.anc.maf	ncausal.100000.hsq.0.5.	ULTRARARE(1)	0.4834 (0.0181)	-0.92	0.0006 (0.0018)	0.36	0.0100 (0.0003)	32.43	0.0007 (0.0018)	0.39
expanded.anc.maf	ncausal.100000.hsq.0.5.	ULTRARARE(2)	0.5051 (0.0123)	0.41	-0.0000 (0.0015)	-0.03	0.0111 (0.0003)	36.43	-0.0011 (0.0015)	-0.74
expanded.anc.maf	ncausal.100000.hsq.0.5.	ULTRARARE(3)	0.4849 (0.0168)	-0.90	-0.0005 (0.0017)	-0.29	0.0101 (0.0003)	29.35	-0.0001 (0.0016)	-0.05
expanded.anc.ld	ncausal.10000.hsq.0.2.	ULTRARARE(1)	0.1825 (0.0063)	-2.76	0.0030 (0.0016)	1.88	0.0016 (0.0002)	10.20	0.0048 (0.0016)	2.97
expanded.anc.ld	ncausal.10000.hsq.0.2.	ULTRARARE(2)	0.1840 (0.0049)	-3.30	0.0013 (0.0009)	1.41	0.0017 (0.0001)	11.97	0.0042 (0.0009)	4.39
expanded.anc.ld	ncausal.10000.hsq.0.2.	ULTRARARE(3)	0.2020 (0.0057)	0.35	0.0020 (0.0010)	1.99	0.0019 (0.0002)	12.42	0.0038 (0.0010)	3.72
expanded.anc.ld	ncausal.10000.hsq.0.5.	ULTRARARE(1)	0.4719 (0.0100)	-2.80	0.0033 (0.0028)	1.19	0.0037 (0.0004)	10.58	0.0088 (0.0029)	3.04
expanded.anc.ld	ncausal.10000.hsq.0.5.	ULTRARARE(2)	0.4569 (0.0111)	-3.89	0.0038 (0.0022)	1.72	0.0042 (0.0004)	10.37	0.0101 (0.0022)	4.67
expanded.anc.ld	ncausal.10000.hsq.0.5.	ULTRARARE(3)	0.4667 (0.0091)	-3.65	0.0023 (0.0017)	1.36	0.0043 (0.0003)	14.39	0.0068 (0.0017)	3.96
expanded.anc.ld	ncausal.100000.hsq.0.2.	ULTRARARE(1)	0.1898 (0.0043)	-2.36	0.0036 (0.0013)	2.80	0.0017 (0.0001)	12.43	0.0060 (0.0013)	4.61
expanded.anc.ld	ncausal.100000.hsq.0.2.	ULTRARARE(2)	0.1874 (0.0045)	-2.78	0.0020 (0.0007)	2.83	0.0018 (0.0002)	7.58	0.0041 (0.0007)	5.86
expanded.anc.ld	ncausal.100000.hsq.0.2.	ULTRARARE(3)	0.1945 (0.0044)	-1.23	0.0007 (0.0007)	1.01	0.0017 (0.0001)	14.34	0.0030 (0.0007)	4.12
expanded.anc.ld	ncausal.100000.hsq.0.5.	ULTRARARE(1)	0.4737 (0.0063)	-4.14	0.0047 (0.0018)	2.58	0.0038 (0.0003)	14.50	0.0110 (0.0019)	5.85
expanded.anc.ld	ncausal.100000.hsq.0.5.	ULTRARARE(2)	0.5300 (0.0067)	4.47	0.0043 (0.0015)	2.95	0.0042 (0.0003)	14.30	0.0102 (0.0015)	6.79
expanded.anc.ld	ncausal.100000.hsq.0.5.	ULTRARARE(3)	0.4724 (0.0063)	-4.40	0.0040 (0.0017)	2.33	0.0041 (0.0002)	21.30	0.0104 (0.0017)	6.00
expanded.anc.maf.ld	ncausal.10000.hsq.0.2.	ULTRARARE(1)	0.1873 (0.0058)	-2.19	0.0005 (0.0010)	0.52	0.0041 (0.0006)	6.72	-0.0002 (0.0012)	-0.17
expanded.anc.maf.ld	ncausal.10000.hsq.0.2.	ULTRARARE(2)	0.1974 (0.0050)	-0.52	-0.0002 (0.0010)	-0.15	0.0041 (0.0005)	7.71	0.0003 (0.0012)	0.22
expanded.anc.maf.ld	ncausal.10000.hsq.0.2.	ULTRARARE(3)	0.2127 (0.0059)	2.15	0.0002 (0.0010)	0.23	0.0051 (0.0007)	7.41	-0.0012 (0.0012)	-0.98
expanded.anc.maf.ld	ncausal.10000.hsq.0.5.	ULTRARARE(1)	0.5073 (0.0109)	0.67	0.0005 (0.0023)	0.22	0.0080 (0.0011)	7.09	0.0017 (0.0028)	0.61
expanded.anc.maf.ld	ncausal.10000.hsq.0.5.	ULTRARARE(2)	0.4936 (0.0113)	-0.57	0.0002 (0.0023)	0.09	0.0118 (0.0016)	7.50	-0.0010 (0.0030)	-0.33
expanded.anc.maf.ld	ncausal.10000.hsq.0.5.	ULTRARARE(3)	0.4891 (0.0093)	-1.17	-0.0011 (0.0015)	-0.72	0.0091 (0.0011)	8.35	-0.0014 (0.0020)	-0.70
expanded.anc.maf.ld	ncausal.100000.hsq.0.2.	ULTRARARE(1)	0.1992 (0.0043)	-0.19	0.0019 (0.0011)	1.74	0.0039 (0.0006)	6.82	0.0022 (0.0014)	1.60
expanded.anc.maf.ld	ncausal.100000.hsq.0.2.	ULTRARARE(2)	0.1997 (0.0049)	-0.07	0.0005 (0.0007)	0.70	0.0042 (0.0005)	8.59	0.0002 (0.0008)	0.23
expanded.anc.maf.ld	ncausal.100000.hsq.0.2.	ULTRARARE(3)	0.2075 (0.0045)	1.66	-0.0005 (0.0008)	-0.71	0.0039 (0.0005)	8.39	-0.0005 (0.0010)	-0.46
expanded.anc.maf.ld	ncausal.100000.hsq.0.5.	ULTRARARE(1)	0.5068 (0.0065)	1.04	0.0005 (0.0012)	0.45	0.0090 (0.0010)	8.75	0.0016 (0.0016)	1.02
expanded.anc.maf.ld	ncausal.100000.hsq.0.5.	ULTRARARE(2)	0.5597 (0.0069)	8.68	0.0010 (0.0013)	0.76	0.0099 (0.0008)	12.20	0.0012 (0.0015)	0.77
expanded.anc.maf.ld	ncausal.100000.hsq.0.5.	ULTRARARE(3)	0.4966 (0.0068)	-0.50	0.0004 (0.0019)	0.22	0.0097 (0.0012)	8.31	0.0013 (0.0024)	0.52
