type	h2(se_h2)	zH2	h2NIM(seNIM)	zNIM	h2MH(seMH)	Z_MH	h2_NIM-h2_MH(se)	Z_NIM-MH
wgSIM_POLY.1	0.506 (0.0160)	0.37	0.0168 (0.0023)	0.19	0.0153 (0.0005)	30.33	0.0015 (0.0024)	0.64
wgSIM_POLY.2	0.502 (0.0147)	0.12	0.0185 (0.0022)	-0.34	0.0151 (0.0005)	33.09	0.0034 (0.0023)	1.50
wgSIM_POLY.3	0.508 (0.0161)	0.50	0.0161 (0.0026)	0.32	0.0154 (0.0005)	31.14	0.0008 (0.0027)	0.29
wgSIM_COMMON.1	0.858 (0.0261)	13.71	0.0050 (0.0019)	-3.81	0.0266 (0.0008)	32.71	-0.0216 (0.0021)	-10.20
wgSIM_COMMON.2	0.858 (0.0215)	16.69	0.0037 (0.0022)	-3.32	0.0267 (0.0007)	39.74	-0.0230 (0.0023)	-9.83
wgSIM_COMMON.3	0.836 (0.0231)	14.57	0.0093 (0.0022)	-1.68	0.0258 (0.0007)	35.85	-0.0166 (0.0024)	-7.01
wgSIM_RARE.1	0.277 (0.0107)	-20.80	0.0198 (0.0026)	0.99	0.0080 (0.0003)	24.18	0.0118 (0.0026)	4.47
wgSIM_RARE.2	0.271 (0.0109)	-20.94	0.0186 (0.0022)	1.25	0.0079 (0.0003)	23.20	0.0107 (0.0022)	4.74
wgSIM_RARE.3	0.289 (0.0116)	-18.20	0.0280 (0.0045)	2.23	0.0081 (0.0003)	23.56	0.0198 (0.0046)	4.33
wgSIM_HIGH.1	0.590 (0.0161)	5.61	0.0170 (0.0024)	-0.22	0.0179 (0.0005)	34.90	-0.0009 (0.0025)	-0.36
wgSIM_HIGH.2	0.586 (0.0158)	5.43	0.0165 (0.0026)	-0.10	0.0178 (0.0005)	36.44	-0.0013 (0.0026)	-0.48
wgSIM_HIGH.3	0.580 (0.0159)	5.06	0.0178 (0.0024)	0.47	0.0176 (0.0005)	35.48	0.0002 (0.0025)	0.10
wgSIM_LOW.1	0.019 (0.0056)	-85.72	0.0013 (0.0008)	-0.84	0.0006 (0.0002)	3.13	0.0007 (0.0009)	0.78
wgSIM_LOW.2	0.023 (0.0052)	-91.41	0.0010 (0.0008)	-1.32	0.0007 (0.0002)	4.12	0.0003 (0.0008)	0.42
wgSIM_LOW.3	0.022 (0.0058)	-83.01	0.0003 (0.0006)	-3.01	0.0007 (0.0002)	3.68	-0.0004 (0.0006)	-0.57
wgSIM_0.2.POLY.1	0.197 (0.0080)	-0.38	0.0073 (0.0012)	0.30	0.0059 (0.0002)	24.07	0.0014 (0.0012)	1.15
wgSIM_0.2.POLY.2	0.204 (0.0074)	0.59	0.0052 (0.0010)	-0.72	0.0062 (0.0002)	26.95	-0.0011 (0.0010)	-1.07
wgSIM_0.2.POLY.3	0.197 (0.0085)	-0.36	0.0050 (0.0010)	-0.15	0.0060 (0.0003)	22.51	-0.0010 (0.0010)	-0.92
wgSIM_0.2.COMMON.1	0.346 (0.0107)	13.64	0.0001 (0.0007)	-6.39	0.0108 (0.0003)	32.24	-0.0107 (0.0008)	-13.72
wgSIM_0.2.COMMON.2	0.349 (0.0118)	12.64	0.0014 (0.0006)	-3.55	0.0109 (0.0004)	29.29	-0.0095 (0.0008)	-12.02
wgSIM_0.2.COMMON.3	0.336 (0.0102)	13.36	0.0035 (0.0011)	-1.80	0.0104 (0.0003)	32.82	-0.0069 (0.0012)	-5.87
wgSIM_0.2.RARE.1	0.102 (0.0048)	-20.52	0.0072 (0.0010)	0.41	0.0030 (0.0001)	19.88	0.0043 (0.0010)	4.23
wgSIM_0.2.RARE.2	0.094 (0.0047)	-22.65	0.0087 (0.0012)	1.14	0.0027 (0.0001)	18.49	0.0060 (0.0013)	4.76
wgSIM_0.2.RARE.3	0.106 (0.0052)	-17.97	0.0096 (0.0012)	2.42	0.0030 (0.0002)	18.00	0.0066 (0.0013)	5.09
wgSIM_0.2.HIGH.1	0.233 (0.0075)	4.44	0.0062 (0.0017)	0.55	0.0071 (0.0002)	31.33	-0.0009 (0.0017)	-0.54
wgSIM_0.2.HIGH.2	0.238 (0.0082)	4.69	0.0073 (0.0011)	0.16	0.0072 (0.0003)	28.51	0.0001 (0.0012)	0.05
wgSIM_0.2.HIGH.3	0.234 (0.0077)	4.40	0.0065 (0.0011)	-0.33	0.0071 (0.0002)	29.43	-0.0006 (0.0011)	-0.53
wgSIM_0.2.LOW.1	0.014 (0.0036)	-52.06	0.0001 (0.0004)	-2.35	0.0004 (0.0001)	3.96	-0.0004 (0.0005)	-0.78
wgSIM_0.2.LOW.2	0.013 (0.0030)	-62.31	0.0007 (0.0004)	0.38	0.0004 (0.0001)	4.23	0.0003 (0.0004)	0.69
wgSIM_0.2.LOW.3	0.012 (0.0032)	-59.55	0.0009 (0.0006)	-0.60	0.0004 (0.0001)	3.58	0.0005 (0.0006)	0.90
wgSIM100000_0.5.POLY.1	0.505 (0.0081)	0.60	0.0134 (0.0013)	-1.35	0.0154 (0.0003)	60.50	-0.0020 (0.0014)	-1.46
wgSIM100000_0.5.POLY.2	0.507 (0.0098)	0.67	0.0151 (0.0015)	-0.12	0.0154 (0.0003)	51.53	-0.0003 (0.0015)	-0.19
wgSIM100000_0.5.POLY.3	0.502 (0.0117)	0.19	0.0150 (0.0012)	0.55	0.0152 (0.0004)	41.58	-0.0002 (0.0013)	-0.15
wgSIM100000_0.5.COMMON.1	0.842 (0.0159)	21.50	0.0038 (0.0013)	-5.62	0.0262 (0.0005)	52.38	-0.0224 (0.0014)	-15.90
wgSIM100000_0.5.COMMON.2	0.855 (0.0152)	23.37	0.0052 (0.0013)	-4.47	0.0266 (0.0005)	55.34	-0.0214 (0.0014)	-14.90
wgSIM100000_0.5.COMMON.3	0.862 (0.0153)	23.66	0.0035 (0.0013)	-5.11	0.0268 (0.0005)	55.26	-0.0234 (0.0015)	-15.91
wgSIM100000_0.5.RARE.1	0.275 (0.0073)	-30.87	0.0245 (0.0023)	2.74	0.0078 (0.0002)	34.55	0.0166 (0.0023)	7.20
wgSIM100000_0.5.RARE.2	0.277 (0.0063)	-35.18	0.0221 (0.0016)	2.88	0.0080 (0.0002)	40.68	0.0142 (0.0017)	8.50
wgSIM100000_0.5.RARE.3	0.269 (0.0061)	-37.92	0.0218 (0.0016)	2.31	0.0077 (0.0002)	40.56	0.0140 (0.0016)	8.78
wgSIM100000_0.5.HIGH.1	0.588 (0.0105)	8.38	0.0175 (0.0015)	-0.25	0.0178 (0.0003)	53.54	-0.0003 (0.0015)	-0.19
wgSIM100000_0.5.HIGH.2	0.571 (0.0109)	6.50	0.0170 (0.0014)	-0.20	0.0173 (0.0003)	50.48	-0.0003 (0.0015)	-0.20
wgSIM100000_0.5.HIGH.3	0.586 (0.0109)	7.96	0.0177 (0.0017)	0.55	0.0178 (0.0003)	52.94	-0.0001 (0.0018)	-0.03
wgSIM100000_0.5.LOW.1	0.025 (0.0039)	-121.28	0.0005 (0.0004)	-4.08	0.0008 (0.0001)	6.18	-0.0003 (0.0004)	-0.71
wgSIM100000_0.5.LOW.2	0.025 (0.0033)	-142.76	0.0011 (0.0004)	-2.13	0.0008 (0.0001)	7.31	0.0003 (0.0005)	0.71
wgSIM100000_0.5.LOW.3	0.026 (0.0036)	-132.47	0.0006 (0.0004)	-3.33	0.0008 (0.0001)	6.98	-0.0002 (0.0005)	-0.39
wgSIM100000_0.2.POLY.1	0.202 (0.0051)	0.32	0.0061 (0.0006)	-0.06	0.0061 (0.0002)	38.62	-0.0000 (0.0006)	-0.01
wgSIM100000_0.2.POLY.2	0.199 (0.0053)	-0.19	0.0053 (0.0008)	-0.90	0.0061 (0.0002)	36.31	-0.0008 (0.0009)	-0.93
wgSIM100000_0.2.POLY.3	0.203 (0.0056)	0.62	0.0044 (0.0008)	-1.98	0.0062 (0.0002)	35.88	-0.0018 (0.0008)	-2.27
wgSIM100000_0.2.COMMON.1	0.354 (0.0087)	17.75	0.0007 (0.0006)	-6.17	0.0110 (0.0003)	40.28	-0.0104 (0.0007)	-13.84
