annot	simulation	TYPE(seed)	h2(se)	z_h2	h2_nim(se)	z_nim	h2_mh(se)	z_mh	h2_nim - sim_nim_h2(se)	Z_nim
expanded.anc	wgSIM_	POLY(1)	0.4725 (0.0326)	-0.84	-0.0013 (0.0026)	-0.48	0.0143 (0.0010)	14.50	0.0008 (0.0024)	0.34
expanded.anc	wgSIM_	POLY(2)	0.4910 (0.0155)	-0.58	-0.0023 (0.0032)	-0.72	0.0148 (0.0005)	29.41	0.0021 (0.0034)	0.63
expanded.anc	wgSIM_	POLY(3)	0.5892 (0.1156)	0.77	0.0026 (0.0043)	0.61	0.0179 (0.0035)	5.08	0.0001 (0.0030)	0.03
expanded.anc	wgSIM_	COMMON(1)	1.1287 (0.2786)	2.26	0.0018 (0.0078)	0.23	0.0348 (0.0085)	4.11	-0.0207 (0.0027)	-7.58
expanded.anc	wgSIM_	COMMON(2)	0.8323 (0.0415)	8.01	-0.0084 (0.0033)	-2.51	0.0259 (0.0013)	19.93	-0.0233 (0.0037)	-6.31
expanded.anc	wgSIM_	COMMON(3)	0.8323 (0.0341)	9.76	-0.0028 (0.0035)	-0.80	0.0257 (0.0011)	24.44	-0.0155 (0.0036)	-4.32
expanded.anc	wgSIM_	RARE(1)	0.2697 (0.0229)	-10.04	-0.0001 (0.0030)	-0.04	0.0079 (0.0007)	11.48	0.0093 (0.0029)	3.17
expanded.anc	wgSIM_	RARE(2)	0.2709 (0.0137)	-16.73	0.0001 (0.0026)	0.04	0.0080 (0.0004)	19.37	0.0080 (0.0025)	3.14
expanded.anc	wgSIM_	RARE(3)	0.2920 (0.0163)	-12.79	0.0091 (0.0053)	1.70	0.0083 (0.0005)	16.65	0.0186 (0.0054)	3.45
expanded.anc	wgSIM_	HIGH(1)	0.5223 (0.0429)	0.52	-0.0024 (0.0024)	-1.00	0.0158 (0.0013)	11.89	-0.0007 (0.0027)	-0.27
expanded.anc	wgSIM_	HIGH(2)	0.5959 (0.0426)	2.25	-0.0023 (0.0027)	-0.85	0.0182 (0.0013)	13.94	-0.0037 (0.0026)	-1.43
expanded.anc	wgSIM_	HIGH(3)	0.5764 (0.0407)	1.88	0.0013 (0.0033)	0.40	0.0175 (0.0013)	13.89	0.0006 (0.0034)	0.16
expanded.anc	wgSIM_	LOW(1)	0.0988 (0.0081)	-49.60	-0.0009 (0.0008)	-1.25	0.0031 (0.0003)	12.11	-0.0020 (0.0008)	-2.53
expanded.anc	wgSIM_	LOW(2)	0.0978 (0.0082)	-49.29	-0.0009 (0.0008)	-1.12	0.0030 (0.0003)	11.91	-0.0019 (0.0009)	-2.26
expanded.anc	wgSIM_	LOW(3)	0.1086 (0.0053)	-73.38	-0.0011 (0.0008)	-1.43	0.0034 (0.0002)	19.95	-0.0024 (0.0008)	-2.95
expanded.anc	wgSIM_0.2.	POLY(1)	0.1773 (0.0332)	-0.68	0.0013 (0.0021)	0.62	0.0053 (0.0010)	5.25	0.0030 (0.0018)	1.61
expanded.anc	wgSIM_0.2.	POLY(2)	0.1804 (0.0240)	-0.82	-0.0000 (0.0013)	-0.00	0.0055 (0.0007)	7.42	0.0004 (0.0012)	0.32
expanded.anc	wgSIM_0.2.	POLY(3)	0.1841 (0.0266)	-0.60	0.0001 (0.0015)	0.06	0.0056 (0.0008)	6.89	-0.0003 (0.0015)	-0.21
expanded.anc	wgSIM_0.2.	COMMON(1)	0.2878 (0.0475)	1.85	-0.0055 (0.0014)	-3.96	0.0090 (0.0015)	6.21	-0.0101 (0.0010)	-10.21
expanded.anc	wgSIM_0.2.	COMMON(2)	0.3200 (0.0230)	5.22	-0.0037 (0.0010)	-3.72	0.0100 (0.0007)	14.16	-0.0100 (0.0010)	-10.37
expanded.anc	wgSIM_0.2.	COMMON(3)	0.2948 (0.0262)	3.62	-0.0023 (0.0015)	-1.56	0.0091 (0.0008)	11.29	-0.0059 (0.0015)	-3.89
expanded.anc	wgSIM_0.2.	RARE(1)	0.0977 (0.0149)	-6.87	0.0005 (0.0014)	0.32	0.0028 (0.0004)	6.28	0.0045 (0.0013)	3.33
expanded.anc	wgSIM_0.2.	RARE(2)	0.0976 (0.0127)	-8.04	0.0025 (0.0017)	1.46	0.0027 (0.0004)	6.68	0.0071 (0.0019)	3.74
expanded.anc	wgSIM_0.2.	RARE(3)	0.1011 (0.0179)	-5.54	0.0038 (0.0021)	1.79	0.0028 (0.0005)	5.23	0.0075 (0.0021)	3.60
expanded.anc	wgSIM_0.2.	HIGH(1)	0.1976 (0.0299)	-0.08	-0.0001 (0.0013)	-0.09	0.0060 (0.0010)	6.29	-0.0009 (0.0020)	-0.44
expanded.anc	wgSIM_0.2.	HIGH(2)	0.2049 (0.0344)	0.14	-0.0008 (0.0017)	-0.46	0.0062 (0.0010)	5.94	0.0001 (0.0014)	0.08
expanded.anc	wgSIM_0.2.	HIGH(3)	0.1990 (0.0339)	-0.03	-0.0005 (0.0018)	-0.28	0.0060 (0.0010)	5.84	0.0003 (0.0016)	0.22
expanded.anc	wgSIM_0.2.	LOW(1)	0.0465 (0.0036)	-43.00	-0.0008 (0.0006)	-1.19	0.0014 (0.0001)	12.85	-0.0011 (0.0007)	-1.63
expanded.anc	wgSIM_0.2.	LOW(2)	0.0412 (0.0067)	-23.76	0.0001 (0.0005)	0.14	0.0013 (0.0002)	6.28	-0.0007 (0.0004)	-1.59
expanded.anc	wgSIM_0.2.	LOW(3)	0.0421 (0.0059)	-26.68	-0.0004 (0.0006)	-0.76	0.0013 (0.0002)	7.17	-0.0005 (0.0005)	-0.87
expanded.anc	wgSIM100000_0.5.	POLY(1)	0.4731 (0.0296)	-0.91	-0.0019 (0.0023)	-0.82	0.0144 (0.0009)	15.99	-0.0011 (0.0022)	-0.51
expanded.anc	wgSIM100000_0.5.	POLY(2)	0.4680 (0.0343)	-0.93	-0.0030 (0.0020)	-1.45	0.0142 (0.0011)	13.53	-0.0019 (0.0020)	-0.95
expanded.anc	wgSIM100000_0.5.	POLY(3)	0.6233 (0.1284)	0.96	0.0032 (0.0033)	0.99	0.0189 (0.0039)	4.82	-0.0013 (0.0020)	-0.66
expanded.anc	wgSIM100000_0.5.	COMMON(1)	0.7764 (0.0479)	5.77	-0.0100 (0.0027)	-3.70	0.0242 (0.0014)	16.84	-0.0233 (0.0020)	-11.46
expanded.anc	wgSIM100000_0.5.	COMMON(2)	0.8829 (0.0398)	9.63	-0.0052 (0.0023)	-2.30	0.0274 (0.0012)	22.33	-0.0218 (0.0024)	-9.15
expanded.anc	wgSIM100000_0.5.	COMMON(3)	0.9172 (0.0571)	7.30	-0.0064 (0.0020)	-3.28	0.0286 (0.0018)	16.15	-0.0250 (0.0023)	-11.08
expanded.anc	wgSIM100000_0.5.	RARE(1)	0.2808 (0.0176)	-12.42	0.0063 (0.0034)	1.83	0.0080 (0.0006)	14.27	0.0165 (0.0036)	4.64
expanded.anc	wgSIM100000_0.5.	RARE(2)	0.2784 (0.0235)	-9.43	0.0050 (0.0034)	1.47	0.0080 (0.0007)	11.13	0.0144 (0.0034)	4.24
expanded.anc	wgSIM100000_0.5.	RARE(3)	0.2781 (0.0123)	-18.01	0.0017 (0.0023)	0.73	0.0081 (0.0004)	21.59	0.0118 (0.0023)	5.19
expanded.anc	wgSIM100000_0.5.	HIGH(1)	0.5291 (0.0405)	0.72	-0.0016 (0.0018)	-0.91	0.0160 (0.0013)	12.62	0.0003 (0.0022)	0.13
expanded.anc	wgSIM100000_0.5.	HIGH(2)	0.5217 (0.0199)	1.09	-0.0030 (0.0022)	-1.36	0.0159 (0.0006)	26.76	-0.0015 (0.0020)	-0.75
expanded.anc	wgSIM100000_0.5.	HIGH(3)	0.5207 (0.0562)	0.37	0.0018 (0.0051)	0.34	0.0157 (0.0017)	9.22	0.0028 (0.0049)	0.58
expanded.anc	wgSIM100000_0.5.	LOW(1)	0.1079 (0.0068)	-57.45	-0.0017 (0.0004)	-4.40	0.0034 (0.0002)	15.75	-0.0030 (0.0004)	-6.75
expanded.anc	wgSIM100000_0.5.	LOW(2)	0.0987 (0.0120)	-33.48	-0.0010 (0.0005)	-1.98	0.0031 (0.0004)	8.28	-0.0020 (0.0005)	-3.92
expanded.anc	wgSIM100000_0.5.	LOW(3)	0.1067 (0.0109)	-36.22	-0.0016 (0.0006)	-2.86	0.0033 (0.0003)	9.96	-0.0029 (0.0005)	-5.31
expanded.anc	wgSIM100000_0.2.	POLY(1)	0.2296 (0.0292)	1.01	-0.0001 (0.0011)	-0.08	0.0070 (0.0009)	7.85	-0.0009 (0.0008)	-1.16
expanded.anc	wgSIM100000_0.2.	POLY(2)	0.2014 (0.0104)	0.13	0.0002 (0.0012)	0.20	0.0061 (0.0003)	18.60	0.0001 (0.0013)	0.10
expanded.anc	wgSIM100000_0.2.	POLY(3)	0.1991 (0.0095)	-0.10	-0.0020 (0.0008)	-2.47	0.0061 (0.0003)	20.80	-0.0021 (0.0008)	-2.64
expanded.anc	wgSIM100000_0.2.	COMMON(1)	0.3312 (0.0132)	9.93	-0.0053 (0.0007)	-7.13	0.0104 (0.0004)	24.94	-0.0110 (0.0009)	-12.13
expanded.anc	wgSIM100000_0.2.	COMMON(2)	0.3083 (0.0203)	5.34	-0.0038 (0.0008)	-4.51	0.0096 (0.0006)	15.44	-0.0088 (0.0008)	-10.95
expanded.anc	wgSIM100000_0.2.	COMMON(3)	0.3288 (0.0188)	6.85	-0.0034 (0.0011)	-3.21	0.0102 (0.0006)	17.94	-0.0094 (0.0009)	-10.09
expanded.anc	wgSIM100000_0.2.	RARE(1)	0.1336 (0.0111)	-6.00	0.0037 (0.0012)	3.12	0.0038 (0.0003)	11.70	0.0068 (0.0011)	6.19
expanded.anc	wgSIM100000_0.2.	RARE(2)	0.1052 (0.0071)	-13.27	-0.0004 (0.0008)	-0.44	0.0031 (0.0002)	14.00	0.0035 (0.0008)	4.35
expanded.anc	wgSIM100000_0.2.	RARE(3)	0.1040 (0.0083)	-11.52	0.0011 (0.0011)	1.05	0.0030 (0.0003)	11.73	0.0055 (0.0011)	5.11
expanded.anc	wgSIM100000_0.2.	HIGH(1)	0.2278 (0.0080)	3.48	-0.0004 (0.0010)	-0.38	0.0069 (0.0003)	27.03	-0.0003 (0.0011)	-0.30
expanded.anc	wgSIM100000_0.2.	HIGH(2)	0.2373 (0.0132)	2.83	0.0027 (0.0018)	1.49	0.0071 (0.0004)	17.53	0.0026 (0.0019)	1.40
expanded.anc	wgSIM100000_0.2.	HIGH(3)	0.2219 (0.0133)	1.65	-0.0003 (0.0012)	-0.28	0.0067 (0.0004)	16.36	-0.0002 (0.0012)	-0.13
expanded.anc	wgSIM100000_0.2.	LOW(1)	0.0406 (0.0031)	-50.68	-0.0003 (0.0003)	-0.98	0.0013 (0.0001)	12.90	-0.0009 (0.0003)	-2.77
expanded.anc	wgSIM100000_0.2.	LOW(2)	0.0445 (0.0033)	-46.51	-0.0002 (0.0003)	-0.62	0.0014 (0.0001)	12.85	-0.0007 (0.0004)	-1.90
expanded.anc	wgSIM100000_0.2.	LOW(3)	0.0380 (0.0030)	-54.24	-0.0004 (0.0003)	-1.40	0.0012 (0.0001)	12.64	-0.0008 (0.0003)	-2.55
expanded.anc.maf	wgSIM_	POLY(1)	0.5121 (0.0306)	0.40	-0.0009 (0.0024)	-0.37	0.0146 (0.0009)	16.64	0.0009 (0.0023)	0.40
expanded.anc.maf	wgSIM_	POLY(2)	0.4904 (0.0167)	-0.58	-0.0012 (0.0032)	-0.37	0.0152 (0.0010)	15.94	0.0029 (0.0035)	0.83
expanded.anc.maf	wgSIM_	POLY(3)	0.5450 (0.0503)	0.89	0.0038 (0.0049)	0.77	0.0184 (0.0024)	7.72	0.0007 (0.0037)	0.18
expanded.anc.maf	wgSIM_	COMMON(1)	0.5695 (0.0624)	1.11	0.0051 (0.0056)	0.90	0.0142 (0.0031)	4.61	0.0033 (0.0033)	1.00
expanded.anc.maf	wgSIM_	COMMON(2)	0.5000 (0.0202)	0.00	-0.0016 (0.0035)	-0.47	0.0098 (0.0006)	16.58	-0.0004 (0.0036)	-0.11
expanded.anc.maf	wgSIM_	COMMON(3)	0.5271 (0.0167)	1.62	0.0043 (0.0034)	1.26	0.0114 (0.0007)	16.09	0.0059 (0.0035)	1.70
expanded.anc.maf	wgSIM_	RARE(1)	0.4916 (0.0229)	-0.37	-0.0032 (0.0028)	-1.14	0.0181 (0.0011)	16.49	-0.0040 (0.0026)	-1.53
expanded.anc.maf	wgSIM_	RARE(2)	0.5060 (0.0224)	0.27	-0.0021 (0.0027)	-0.78	0.0169 (0.0008)	22.38	-0.0032 (0.0027)	-1.19
