fCode	Pheno	Category	h2(se)	z_h2	h2nim(se)	z_nim	h2_non_nim(se)	z_non_nim	h2_mh - h2_nim (se)	z_delta
f.48.0.0	Waist circumference	Anthropometry	0.2541 (0.0077)	32.94	0.0015 (0.0007)	2.32	0.0037 (0.0002)	14.94	0.0022 (0.0007)	3.12E+00
f.49.0.0	Hip circumference	Anthropometry	0.2654 (0.0090)	29.49	0.0016 (0.0007)	2.35	0.0038 (0.0002)	16.57	0.0022 (0.0007)	3.04E+00
f.50.0.0	Standing height	Anthropometry	0.6892 (0.0322)	21.39	0.0027 (0.0015)	1.83	0.0093 (0.0007)	12.6	0.0066 (0.0018)	3.78E+00
f.20015.0.0	Sitting height	Anthropometry	0.4494 (0.0219)	20.55	0.0020 (0.0011)	1.88	0.0060 (0.0006)	9.52	0.0040 (0.0013)	3.16E+00
f.21001.0.0	Body mass index (BMI)	Anthropometry	0.3113 (0.0095)	32.6	0.0020 (0.0007)	2.81	0.0044 (0.0003)	14.63	0.0024 (0.0008)	3.15E+00
f.21002.0.0	Weight	Anthropometry	0.3152 (0.0103)	30.67	0.0018 (0.0007)	2.67	0.0045 (0.0004)	12.73	0.0027 (0.0008)	3.53E+00
f.23099.0.0	Body fat percentage	Anthropometry	0.3029 (0.0084)	35.94	0.0023 (0.0007)	3.35	0.0045 (0.0003)	13.65	0.0022 (0.0008)	2.94E+00
f.23100.0.0	Whole body fat mass	Anthropometry	0.2858 (0.0085)	33.74	0.0023 (0.0007)	3.25	0.0042 (0.0003)	13.1	0.0019 (0.0008)	2.58E+00
f.23101.0.0	Whole body fat-free mass	Anthropometry	0.3830 (0.0141)	27.23	0.0018 (0.0007)	2.46	0.0056 (0.0004)	13.22	0.0038 (0.0009)	4.30E+00
f.23102.0.0	Whole body water mass	Anthropometry	0.3835 (0.0145)	26.43	0.0017 (0.0007)	2.26	0.0056 (0.0004)	13.77	0.0039 (0.0009)	4.42E+00
f.23106.0.0	Whole body impedance	Anthropometry	0.3421 (0.0116)	29.49	0.0016 (0.0007)	2.3	0.0047 (0.0004)	11.64	0.0032 (0.0008)	3.92E+00
f.23127.0.0	Trunk fat percentage	Anthropometry	0.2779 (0.0081)	34.2	0.0021 (0.0007)	3.1	0.0041 (0.0003)	13.1	0.0021 (0.0007)	2.77E+00
f.23128.0.0	Trunk fat mass	Anthropometry	0.2913 (0.0086)	33.98	0.0018 (0.0007)	2.77	0.0044 (0.0003)	15.77	0.0026 (0.0007)	3.46E+00
f.23129.0.0	Trunk fat-free mass	Anthropometry	0.3969 (0.0154)	25.7	0.0010 (0.0007)	1.46	0.0060 (0.0004)	14.5	0.0050 (0.0009)	5.37E+00
f.23130.0.0	Trunk predicted mass	Anthropometry	0.4025 (0.0155)	25.9	0.0015 (0.0008)	1.85	0.0057 (0.0004)	13.87	0.0043 (0.0010)	4.39E+00
f.23105.0.0	Basal metabolic rate	Anthropometry	0.3665 (0.0135)	27.24	0.0016 (0.0008)	2.05	0.0053 (0.0004)	13.91	0.0037 (0.0009)	4.04E+00
f.48.0.0/f.49.0.0	Waist-hip ratio	Anthropometry	0.2425 (0.0072)	33.73	0.0019 (0.0007)	2.87	0.0032 (0.0002)	14.95	0.0013 (0.0007)	1.94E+00
f.6152.0.0	Asthma	Autoimmune disorders	0.1150 (0.0075)	15.42	0.0009 (0.0007)	1.31	0.0011 (0.0002)	5.35	0.0001 (0.0007)	2.00E-01
f.20002	Autoimmune related	Autoimmune disorders	0.0578 (0.0066)	8.74	-0.0001 (0.0006)	-0.11	0.0010 (0.0002)	5.34	0.0010 (0.0007)	1.51E+00
f.30600.0.0	Albumin	Blood biochemistry	0.1936 (0.0165)	11.73	0.0010 (0.0005)	1.94	0.0025 (0.0003)	9.58	0.0015 (0.0006)	2.36E+00
f.30680.0.0	Calcium	Blood biochemistry	0.1644 (0.0132)	12.48	0.0007 (0.0007)	0.99	0.0020 (0.0004)	4.69	0.0013 (0.0009)	1.36E+00
f.30660.0.0	Direct bilirubin	Blood biochemistry	0.2878 (0.1988)	1.45	-0.0028 (0.0035)	-0.81	0.0006 (0.0008)	0.74	0.0034 (0.0029)	1.17E+00
f.30840.0.0	Total bilirubin	Blood biochemistry	0.4075 (0.2749)	1.48	-0.0040 (0.0048)	-0.83	0.0010 (0.0010)	1.04	0.0050 (0.0040)	1.24E+00
f.30150.0.0	Eosinophil count	Blood biochemistry	0.2570 (0.0174)	14.79	0.0024 (0.0016)	1.54	0.0032 (0.0005)	6.91	0.0008 (0.0018)	4.60E-01
f.30120.0.0	Lymphocyte count	Blood biochemistry	0.2728 (0.0178)	15.33	0.0029 (0.0011)	2.66	0.0040 (0.0004)	9.47	0.0011 (0.0012)	9.30E-01
f.30050.0.0	Mean corpuscular hemoglobin	Blood biochemistry	0.3150 (0.0347)	9.08	0.0011 (0.0008)	1.41	0.0043 (0.0007)	6.42	0.0032 (0.0012)	2.70E+00
f.30130.0.0	Monocyte count	Blood biochemistry	0.2940 (0.0250)	11.76	0.0035 (0.0013)	2.63	0.0029 (0.0004)	8.09	-0.0007 (0.0014)	-4.70E-01
f.30100.0.0	Mean platelet volume	Blood biochemistry	0.4755 (0.0482)	9.86	0.0063 (0.0037)	1.69	0.0059 (0.0010)	5.99	-0.0004 (0.0041)	-1.00E-01
f.30270.0.0	Mean sphered cell volume	Blood biochemistry	0.3040 (0.0243)	12.51	0.0029 (0.0013)	2.19	0.0036 (0.0004)	8.05	0.0006 (0.0014)	4.60E-01
f.30110.0.0	Platelet Distribution Width	Blood biochemistry	0.3250 (0.0410)	7.92	0.0014 (0.0011)	1.19	0.0036 (0.0007)	5.44	0.0023 (0.0015)	1.49E+00
f.30080.0.0	Platelet count	Blood biochemistry	0.3793 (0.0288)	13.15	0.0020 (0.0011)	1.8	0.0041 (0.0005)	8.71	0.0021 (0.0012)	1.71E+00
f.30010.0.0	RBC count	Blood biochemistry	0.2957 (0.0214)	13.81	0.0004 (0.0007)	0.55	0.0041 (0.0004)	9.6	0.0037 (0.0009)	4.03E+00
f.30030.0.0	RBC distribution width	Blood biochemistry	0.2538 (0.0210)	12.08	0.0010 (0.0009)	1.12	0.0028 (0.0004)	6.97	0.0018 (0.0010)	1.72E+00
f.30300.0.0	High light scatter reticulocyte count	Blood biochemistry	0.2754 (0.0198)	13.94	0.0014 (0.0011)	1.29	0.0044 (0.0006)	7.68	0.0029 (0.0014)	2.10E+00
f.30000.0.0	White blood cell count	Blood biochemistry	0.2685 (0.0151)	17.78	0.0017 (0.0007)	2.41	0.0034 (0.0004)	9.49	0.0016 (0.0008)	2.13E+00
f.30710.0.0	C-reactive protein	Blood biochemistry	0.2668 (0.0427)	6.25	0.0016 (0.0010)	1.7	0.0027 (0.0003)	9.72	0.0011 (0.0010)	1.13E+00
f.30770.0.0	IGF-1	Blood biochemistry	0.3049 (0.0187)	16.32	0.0031 (0.0015)	2.02	0.0046 (0.0005)	10.15	0.0015 (0.0016)	9.40E-01
f.30790.0.0	Lipoprotein-A	Blood biochemistry	0.3698 (0.3644)	1.01	-0.0044 (0.0044)	-0.98	0.0033 (0.0031)	1.06	0.0077 (0.0075)	1.02E+00
f.30800.0.0	Oestradiol higher than 212 pmol/L	Blood biochemistry	0.0724 (0.0230)	3.15	0.0005 (0.0023)	0.22	0.0009 (0.0007)	1.18	0.0004 (0.0024)	1.50E-01
