simulation	TP(region)	FP(region)	FDP(region)	TP(credible)	FP(credible)	FDP(credible)
ncausal.10000.hsq.0.2.BASELINE.1	8	0	0	8	0	0
ncausal.10000.hsq.0.2.BASELINE.2	5	0	0	5	0	0
ncausal.10000.hsq.0.2.BASELINE.3	4	3	4.285714e-01	4	3	4.285714e-01
ncausal.100000.hsq.0.2.BASELINE.1	3	0	0	3	0	0
ncausal.100000.hsq.0.2.BASELINE.2	4	0	0	4	0	0
ncausal.100000.hsq.0.2.BASELINE.3	1	0	0	1	0	0
ncausal.10000.hsq.0.5.BASELINE.1	35	9	2.045455e-01	32	12	2.727273e-01
ncausal.10000.hsq.0.5.BASELINE.2	44	10	1.851852e-01	40	14	2.592593e-01
ncausal.10000.hsq.0.5.BASELINE.3	40	12	2.307692e-01	38	14	2.692308e-01
ncausal.100000.hsq.0.5.BASELINE.1	12	1	7.692308e-02	11	2	1.538462e-01
ncausal.100000.hsq.0.5.BASELINE.2	9	1	1.000000e-01	9	1	1.000000e-01
ncausal.100000.hsq.0.5.BASELINE.3	6	2	2.500000e-01	5	3	3.750000e-01
ncausal.10000.hsq.0.2.COMMON.1	5	1	1.666667e-01	5	1	1.666667e-01
ncausal.10000.hsq.0.2.COMMON.2	4	3	4.285714e-01	4	3	4.285714e-01
ncausal.10000.hsq.0.2.COMMON.3	11	4	2.666667e-01	11	4	2.666667e-01
ncausal.100000.hsq.0.2.COMMON.1	0	0	0	0	0	0
ncausal.100000.hsq.0.2.COMMON.2	1	0	0	1	0	0
ncausal.100000.hsq.0.2.COMMON.3	4	0	0	4	0	0
ncausal.10000.hsq.0.5.COMMON.1	21	12	3.636364e-01	20	13	3.939394e-01
ncausal.10000.hsq.0.5.COMMON.2	30	3	9.090909e-02	28	5	1.515152e-01
ncausal.10000.hsq.0.5.COMMON.3	29	18	3.829787e-01	24	23	4.893617e-01
ncausal.100000.hsq.0.5.COMMON.1	13	1	7.142857e-02	12	2	1.428571e-01
ncausal.100000.hsq.0.5.COMMON.2	20	3	1.304348e-01	18	5	2.173913e-01
ncausal.100000.hsq.0.5.COMMON.3	16	2	1.111111e-01	15	3	1.666667e-01
ncausal.10000.hsq.0.2.RARE.1	6	0	0	6	0	0
ncausal.10000.hsq.0.2.RARE.2	10	1	9.090909e-02	9	2	1.818182e-01
ncausal.10000.hsq.0.2.RARE.3	7	2	2.222222e-01	7	2	2.222222e-01
ncausal.100000.hsq.0.2.RARE.1	3	1	2.500000e-01	3	1	2.500000e-01
ncausal.100000.hsq.0.2.RARE.2	2	0	0	2	0	0
ncausal.100000.hsq.0.2.RARE.3	1	0	0	1	0	0
ncausal.10000.hsq.0.5.RARE.1	36	14	2.800000e-01	35	15	3.000000e-01
ncausal.10000.hsq.0.5.RARE.2	32	6	1.578947e-01	30	8	2.105263e-01
ncausal.10000.hsq.0.5.RARE.3	39	11	2.200000e-01	36	14	2.800000e-01
ncausal.100000.hsq.0.5.RARE.1	21	1	4.545455e-02	20	2	9.090909e-02
ncausal.100000.hsq.0.5.RARE.2	20	0	0	18	2	1.000000e-01
ncausal.100000.hsq.0.5.RARE.3	22	2	8.333333e-02	20	4	1.666667e-01
ncausal.10000.hsq.0.2.HIGH.1	1	2	6.666667e-01	1	2	6.666667e-01
ncausal.10000.hsq.0.2.HIGH.2	12	1	7.692308e-02	11	2	1.538462e-01
ncausal.10000.hsq.0.2.HIGH.3	8	3	2.727273e-01	8	3	2.727273e-01
ncausal.100000.hsq.0.2.HIGH.1	2	1	3.333333e-01	1	2	6.666667e-01
ncausal.100000.hsq.0.2.HIGH.2	5	0	0	5	0	0
ncausal.100000.hsq.0.2.HIGH.3	1	0	0	1	0	0
ncausal.10000.hsq.0.5.HIGH.1	33	10	2.325581e-01	33	10	2.325581e-01
ncausal.10000.hsq.0.5.HIGH.2	37	13	2.600000e-01	37	13	2.600000e-01
ncausal.10000.hsq.0.5.HIGH.3	41	10	1.960784e-01	40	11	2.156863e-01
ncausal.100000.hsq.0.5.HIGH.1	19	0	0	16	3	1.578947e-01
ncausal.100000.hsq.0.5.HIGH.2	11	2	1.538462e-01	11	2	1.538462e-01
ncausal.100000.hsq.0.5.HIGH.3	12	1	7.692308e-02	11	2	1.538462e-01
ncausal.10000.hsq.0.2.LOW.1	2	0	0	2	0	0
ncausal.10000.hsq.0.2.LOW.2	0	0	0	0	0	0
ncausal.10000.hsq.0.2.LOW.3	3	0	0	2	1	3.333333e-01
ncausal.100000.hsq.0.2.LOW.1	0	0	0	0	0	0
ncausal.100000.hsq.0.2.LOW.2	0	0	0	0	0	0
ncausal.100000.hsq.0.2.LOW.3	0	0	0	0	0	0
ncausal.10000.hsq.0.5.LOW.1	5	0	0	5	0	0
ncausal.10000.hsq.0.5.LOW.2	2	0	0	2	0	0
ncausal.10000.hsq.0.5.LOW.3	2	0	0	2	0	0
ncausal.100000.hsq.0.5.LOW.1	0	0	0	0	0	0
ncausal.100000.hsq.0.5.LOW.2	0	0	0	0	0	0
ncausal.100000.hsq.0.5.LOW.3	0	0	0	0	0	0
