type	h2(se_h2)	zH2	h2NIM(seNIM)	zNIM	h2MH(seMH)	Z_MH	h2_NIM-h2_MH(se)	Z_NIM-MH
wgSIM_POLY.1	0.404 (0.0218)	-4.38	0.0132 (0.0025)	-1.27	0.0084 (0.0005)	17.97	0.0048 (0.0026)	1.88
wgSIM_POLY.2	0.400 (0.0193)	-5.19	0.0174 (0.0031)	-0.60	0.0082 (0.0004)	19.48	0.0091 (0.0032)	2.82
wgSIM_POLY.3	0.412 (0.0303)	-2.90	0.0156 (0.0037)	0.08	0.0085 (0.0006)	13.37	0.0071 (0.0037)	1.90
wgSIM_COMMON.1	0.830 (0.0597)	5.52	0.0057 (0.0028)	-2.33	0.0178 (0.0013)	14.14	-0.0120 (0.0025)	-4.83
wgSIM_COMMON.2	0.774 (0.0345)	7.94	0.0012 (0.0022)	-4.55	0.0167 (0.0007)	22.24	-0.0155 (0.0024)	-6.50
wgSIM_COMMON.3	0.764 (0.0305)	8.67	0.0083 (0.0027)	-1.76	0.0163 (0.0007)	24.84	-0.0080 (0.0028)	-2.88
wgSIM_RARE.1	0.171 (0.0139)	-23.56	0.0148 (0.0024)	-1.03	0.0034 (0.0003)	11.36	0.0114 (0.0024)	4.74
wgSIM_RARE.2	0.157 (0.0117)	-29.20	0.0156 (0.0025)	-0.08	0.0031 (0.0003)	11.92	0.0126 (0.0026)	4.88
wgSIM_RARE.3	0.197 (0.0146)	-20.77	0.0262 (0.0052)	1.61	0.0037 (0.0003)	12.26	0.0225 (0.0052)	4.33
wgSIM_HIGH.1	0.463 (0.0234)	-1.57	0.0141 (0.0027)	-1.24	0.0097 (0.0005)	19.33	0.0045 (0.0028)	1.60
wgSIM_HIGH.2	0.475 (0.0229)	-1.09	0.0136 (0.0028)	-1.13	0.0099 (0.0005)	20.41	0.0037 (0.0028)	1.31
wgSIM_HIGH.3	0.460 (0.0233)	-1.70	0.0135 (0.0027)	-1.21	0.0096 (0.0005)	19.17	0.0038 (0.0028)	1.38
wgSIM_LOW.1	0.035 (0.0059)	-78.53	0.0012 (0.0008)	-0.97	0.0007 (0.0001)	5.63	0.0005 (0.0008)	0.55
wgSIM_LOW.2	0.032 (0.0059)	-79.01	0.0014 (0.0010)	-0.59	0.0007 (0.0001)	5.22	0.0008 (0.0010)	0.74
wgSIM_LOW.3	0.043 (0.0076)	-60.31	0.0011 (0.0009)	-1.10	0.0009 (0.0002)	5.55	0.0002 (0.0009)	0.19
wgSIM_0.2.POLY.1	0.156 (0.0128)	-3.45	0.0073 (0.0017)	0.21	0.0032 (0.0003)	11.77	0.0041 (0.0017)	2.39
wgSIM_0.2.POLY.2	0.162 (0.0092)	-4.14	0.0052 (0.0012)	-0.52	0.0034 (0.0002)	17.27	0.0018 (0.0012)	1.49
wgSIM_0.2.POLY.3	0.172 (0.0119)	-2.34	0.0039 (0.0010)	-1.23	0.0036 (0.0003)	14.14	0.0003 (0.0011)	0.27
wgSIM_0.2.COMMON.1	0.302 (0.0136)	7.52	-0.0004 (0.0008)	-5.74	0.0065 (0.0003)	22.07	-0.0069 (0.0009)	-7.43
wgSIM_0.2.COMMON.2	0.319 (0.0185)	6.41	0.0003 (0.0007)	-5.09	0.0069 (0.0004)	17.10	-0.0065 (0.0008)	-7.96
wgSIM_0.2.COMMON.3	0.296 (0.0127)	7.57	0.0028 (0.0013)	-2.08	0.0063 (0.0003)	23.36	-0.0035 (0.0013)	-2.67
wgSIM_0.2.RARE.1	0.066 (0.0054)	-24.63	0.0068 (0.0010)	-0.00	0.0013 (0.0001)	10.84	0.0056 (0.0010)	5.37
wgSIM_0.2.RARE.2	0.059 (0.0053)	-26.90	0.0082 (0.0017)	0.55	0.0011 (0.0001)	9.53	0.0071 (0.0017)	4.13
wgSIM_0.2.RARE.3	0.067 (0.0060)	-22.22	0.0083 (0.0017)	1.04	0.0013 (0.0001)	10.00	0.0070 (0.0017)	4.21
wgSIM_0.2.HIGH.1	0.182 (0.0098)	-1.87	0.0053 (0.0019)	0.00	0.0038 (0.0002)	17.33	0.0015 (0.0020)	0.74
wgSIM_0.2.HIGH.2	0.189 (0.0120)	-0.95	0.0059 (0.0013)	-0.94	0.0039 (0.0003)	15.25	0.0019 (0.0013)	1.48
wgSIM_0.2.HIGH.3	0.186 (0.0104)	-1.37	0.0058 (0.0011)	-0.99	0.0039 (0.0002)	17.29	0.0019 (0.0011)	1.63
wgSIM_0.2.LOW.1	0.022 (0.0045)	-39.72	0.0003 (0.0005)	-1.63	0.0005 (0.0001)	4.80	-0.0002 (0.0005)	-0.36
wgSIM_0.2.LOW.2	0.016 (0.0035)	-53.11	0.0008 (0.0005)	0.46	0.0003 (0.0001)	4.26	0.0004 (0.0006)	0.81
wgSIM_0.2.LOW.3	0.018 (0.0034)	-52.94	0.0010 (0.0006)	-0.39	0.0004 (0.0001)	4.93	0.0006 (0.0006)	1.03
wgSIM100000_0.5.POLY.1	0.397 (0.0134)	-7.69	0.0122 (0.0017)	-1.68	0.0083 (0.0003)	28.43	0.0039 (0.0018)	2.18
wgSIM100000_0.5.POLY.2	0.394 (0.0153)	-6.92	0.0116 (0.0018)	-2.03	0.0083 (0.0003)	25.22	0.0033 (0.0019)	1.79
wgSIM100000_0.5.POLY.3	0.426 (0.0299)	-2.46	0.0138 (0.0017)	-0.31	0.0089 (0.0006)	14.06	0.0049 (0.0017)	2.95
wgSIM100000_0.5.COMMON.1	0.756 (0.0261)	9.80	0.0023 (0.0016)	-5.40	0.0163 (0.0006)	28.71	-0.0139 (0.0017)	-8.05
wgSIM100000_0.5.COMMON.2	0.774 (0.0287)	9.55	0.0043 (0.0019)	-3.53	0.0166 (0.0006)	26.49	-0.0123 (0.0021)	-5.84
wgSIM100000_0.5.COMMON.3	0.784 (0.0265)	10.72	0.0021 (0.0015)	-5.21	0.0168 (0.0006)	29.37	-0.0147 (0.0017)	-8.72
wgSIM100000_0.5.RARE.1	0.172 (0.0093)	-35.28	0.0214 (0.0035)	0.91	0.0033 (0.0002)	16.33	0.0182 (0.0035)	5.13
wgSIM100000_0.5.RARE.2	0.173 (0.0093)	-35.02	0.0201 (0.0030)	0.89	0.0033 (0.0002)	16.29	0.0168 (0.0031)	5.48
